Target,Race,Gender,Age,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Attractive,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Luminance_median,Nose_Width,Nose_Length,Lip_Thickness,Face_Length,R_Eye_H,L_Eye_H,Avg_Eye_Height,R_Eye_W,L_Eye_W,Avg_Eye_Width,Face_Width_Cheeks,Face_Width_Mouth,Forehead,Pupil_Top_R,Pupil_Top_L,Asymmetry_pupil_top,Pupil_Lip_R,Pupil_Lip_L,Asymmetry_pupil_lip,BottomLip_Chin,Midcheek_Chin_R,Midcheek_Chin_L,Cheeks_avg,Midbrow_Hairline_R,Midbrow_Hairline_L,Faceshape,Heartshapeness,Noseshape,LipFullness,EyeShape,EyeSize,UpperHeadLength,MidfaceLength,ChinLength,ForeheadHeight,CheekboneHeight,CheekboneProminence,FaceRoundness,fWHR
AF-203,A,F,22.75862069,29,1,0,0.75862069,0,0.068965517,0.172413793,0,0,2.586206897,1.655172414,3.275862069,3.862068966,1.620689655,1.75,5,2.571428571,1.724137931,2.531914894,2.344827586,.,1.931034483,1.178571429,3.793103448,2.24137931,175.5,233.5,240,129.5,1083.5,68,70.5,69.25,155,157.5,156.25,629.5,542,384,402,393,9,370,375,5,184,462.5,450,456.25,298,292,0.58098754,1.161439114,0.972916667,0.119520074,0.4432,0.063913244,0.354407014,0.343793263,0.169820028,0.272265805,0.421089063,87.5,0.500230734,1.863718796
AF-234,A,F,24.2962963,27,0.925925926,0.074074074,0.518518519,0,0.333333333,0.074074074,0.074074074,0,2.296296296,2.192307692,3.185185185,3.259259259,2.148148148,2.37037037,4.518518519,2.37037037,2.115384615,2.29787234,2.846153846,.,1.777777778,2.111111111,3.777777778,2.111111111,172,267.5,244.5,130,1085,54.5,50.5,52.5,153.5,147.5,150.5,599.5,538,386,390,384.5,5.5,371,377,6,187.5,471,477,474,287,275.5,0.552534562,1.114312268,1.09406953,0.119815668,0.348837209,0.048387097,0.355760369,0.344700461,0.17281106,0.25921659,0.436866359,61.5,0.495852535,1.915137615
AM-228,A,M,25.32142857,28,0,1,0.928571429,0,0.071428571,0,0,0,1.642857143,2.222222222,3.428571429,2.642857143,1.821428571,2.678571429,1.535714286,2.535714286,4.214285714,3.744186047,2.259259259,.,1.571428571,1.851851852,3.464285714,2.357142857,170,250,255,106.5,1143,64,59.5,61.75,139,144.5,141.75,618,462.5,430.5,437,432,5,400,398,2,215.5,495.5,483.5,489.5,333.5,334.5,0.540682415,1.336216216,0.980392157,0.093175853,0.435626102,0.054024497,0.37664042,0.349081365,0.188538933,0.292213473,0.428258968,155.5,0.40463692,1.830806735
AM-243,A,M,23.88,25,0,1,0.44,0,0.32,0.2,0,0.04,1.92,1.88,3.68,3.28,1.92,2.2,1.96,2.72,4,1.76744186,2.04,.,1.72,1.791666667,3.36,2.24,152,218,286,125,1130,67,70,68.5,177.5,178.5,178,617.5,505,387,391.5,416.5,25,417,402,15,193,480,478.5,479.25,280,300,0.546460177,1.222772277,0.762237762,0.110619469,0.384831461,0.060619469,0.342477876,0.362389381,0.17079646,0.256637168,0.424115044,112.5,0.446902655,1.804329772
LF-213,L,F,25.8,25,1,0,0.04,0,0.56,0.16,0.12,0.12,2.84,2.52,3.36,2.68,2.583333333,2.25,4.36,2.36,2.125,3.136363636,3.24,.,1.84,2.2,3.76,2.52,153.5,215,282.5,121,1146,66.5,67,66.75,172,172.5,172.25,627.5,504,437.5,447,445.5,1.5,398,397,1,181,440.5,442.5,441.5,339.5,344.5,0.547556719,1.245039683,0.761061947,0.105584642,0.387518142,0.058246073,0.381762653,0.346858639,0.157940663,0.298429319,0.385253054,123.5,0.439790576,1.68465812
LF-229,L,F,25.86956522,23,0.913043478,0.086956522,0,0,0.434782609,0.304347826,0,0.260869565,1.608695652,2.043478261,3.739130435,2.260869565,1.782608696,2.391304348,4.347826087,2.826086957,1.739130435,2.888888889,2.173913043,.,1.608695652,1.608695652,3.772727273,1.454545455,160.5,229,261,123.5,1189,55,55.5,55.25,170.5,162,166.25,654,492.5,385,437.5,448,10.5,384,375,9,236,499,491,495,270,289.5,0.550042052,1.327918782,0.877394636,0.103868797,0.332330827,0.04646762,0.323801514,0.319175778,0.198486123,0.235281749,0.416316232,161.5,0.414213625,1.787638948
LM-211,L,M,19.35714286,28,0,1,0.071428571,0,0.571428571,0.142857143,0,0.214285714,1.428571429,1.5,3.321428571,3.857142857,1.464285714,1.785714286,1.535714286,4.178571429,3.964285714,3.288888889,1.666666667,.,1.607142857,1.321428571,3.714285714,1.75,141,242,242.5,108,1135.5,55,56.5,55.75,170,183.5,176.75,660,539.5,341,408,399.5,8.5,363.5,362.5,1,261,477,479.5,478.25,305,302,0.581241744,1.223354958,0.997938144,0.095112285,0.315417256,0.049097314,0.300308234,0.319682959,0.22985469,0.267283135,0.421180097,120.5,0.475121092,1.798197389
WF-039,W,F,23.72340426,96,1,0,0,0.010416667,0.0625,0.020833333,0,0.90625,2.083333333,2.083333333,3.364583333,3.260416667,1.875,1.851851852,4.59375,2.447916667,2.03125,3.288888889,2.833333333,4.48,2.104166667,1.747368421,3.677083333,1.989473684,163.5,190.5,233,82,1098.5,63,61,62,159.5,156,157.75,688.5,557,420.5,437,399,38,343.5,351.5,8,214.5,442.5,436,439.25,319,299.5,0.626763769,1.236086176,0.817596567,0.074647246,0.393026941,0.056440601,0.38279472,0.316340464,0.195266272,0.281520255,0.39986345,0.119708694,0.507055075,1.93
WM-214,W,M,25.12,25,0.04,0.96,0,0,0,0,0,1,1.8,1.68,3.12,3.6,1.72,2.48,2.25,3.4,3.666666667,4.132075472,1.88,.,2.04,1.68,3.72,2.24,169,213,261.5,98,1150.5,56.5,57.5,57,166,166,166,615,468,419.5,415,419,4,419.5,412,7.5,221,478,481,479.5,335.5,332,0.534550196,1.314102564,0.814531549,0.085180356,0.343373494,0.049543677,0.364624076,0.361364624,0.192090395,0.290091265,0.416775315,147,0.406779661,1.684524877
WM-230,W,M,21.60714286,28,0,1,0,0,0,0,0,1,1.814814815,1.785714286,3.142857143,3.964285714,2,2.678571429,1.851851852,3.214285714,3.821428571,4.272727273,1.928571429,.,1.5,2.035714286,3.392857143,2.035714286,173,229.5,275.5,65,1189.5,59,56,57.5,161.5,156,158.75,640.5,506,493,495.5,504.5,9,390.5,368.5,22,236.5,456.5,438,447.25,388,391,0.538461538,1.265810277,0.833030853,0.054644809,0.362204724,0.048339639,0.414459857,0.319041614,0.198823035,0.327448508,0.375998319,134.5,0.425388819,1.755073473